,T,moneyness,implied_volatility
4968,18,0.7634029263778845,0.604
5004,18,0.8675033254294142,0.2979
5028,18,0.8975767740443006,0.2454
5032,18,0.9022034584465908,0.2396
5044,18,0.9137701694523163,0.2404
5056,18,0.9207101960557516,0.2318
5064,18,0.9253368804580419,0.2263
5088,18,0.9392169336649124,0.2104
5100,18,0.9461569602683477,0.2033
5116,18,0.9554103290729281,0.1942
5120,18,0.9577236712740733,0.1921
5124,18,0.9600370134752184,0.1901
5128,18,0.9623503556763635,0.188
5132,18,0.9646636978775086,0.1858
5136,18,0.9669770400786537,0.1839
5140,18,0.9692903822797988,0.1819
5144,18,0.9716037244809439,0.1797
5148,18,0.973917066682089,0.178
5152,18,0.9762304088832341,0.1759
5156,18,0.9785437510843792,0.1738
5160,18,0.9808570932855243,0.1721
5164,18,0.9831704354866694,0.1701
5168,18,0.9854837776878145,0.1682
5172,18,0.9877971198889596,0.1662
5176,18,0.9901104620901048,0.1644
5180,18,0.9924238042912499,0.1626
5184,18,0.994737146492395,0.1606
5188,18,0.9970504886935401,0.1589
5192,18,0.9993638308946852,0.1569
5196,18,1.0005205019952577,0.1562
5200,18,1.0016771730958303,0.1553
5204,18,1.0039905152969752,0.1536
5208,18,1.0063038574981205,0.1514
5212,18,1.0086171996992657,0.15
5216,18,1.0109305419004107,0.1481
5220,18,1.0120872130009833,0.1476
5224,18,1.0132438841015559,0.1464
5228,18,1.0155572263027008,0.1447
5232,18,1.017870568503846,0.1431
5236,18,1.020183910704991,0.1415
5240,18,1.0224972529061362,0.14
5244,18,1.0236539240067088,0.1393
5248,18,1.0248105951072812,0.1385
5252,18,1.0271239373084264,0.1371
5256,18,1.0294372795095714,0.1355
5260,18,1.0317506217107166,0.1342
5264,18,1.0340639639118616,0.1331
5268,18,1.0352206350124342,0.1324
5272,18,1.0363773061130068,0.1318
5276,18,1.038690648314152,0.1307
5280,18,1.041003990515297,0.1295
5284,18,1.0433173327164422,0.1284
5288,18,1.0456306749175872,0.1277
5292,18,1.0467873460181598,0.1275
5296,18,1.0479440171187324,0.1271
5300,18,1.0502573593198774,0.1262
5304,18,1.0525707015210226,0.1253
5308,18,1.0548840437221676,0.1249
5312,18,1.0571973859233128,0.125
5316,18,1.0583540570238854,0.1255
5320,18,1.0595107281244578,0.1259
5324,18,1.061824070325603,0.1267
5328,18,1.064137412526748,0.1263
5332,18,1.0664507547278932,0.1276
5336,18,1.0687640969290382,0.1281
5340,18,1.0710774391301834,0.1285
5344,18,1.0733907813313286,0.1285
5348,18,1.0757041235324736,0.1316
5352,18,1.0780174657336188,0.1304
5356,18,1.0803308079347638,0.1334
5360,18,1.082644150135909,0.1368
5368,18,1.0872708345381992,0.1359
5372,18,1.0918975189404894,0.1428
5376,18,1.0965242033427796,0.1491
5380,18,1.0988375455439245,0.1522
5384,18,1.1011508877450698,0.1553
5388,18,1.10577757214736,0.1615
5392,18,1.1104042565496501,0.1677
5396,18,1.1150309409519403,0.1571
5404,18,1.1219709675553757,0.1659
5476,25,0.77496963738361,0.3985
5480,25,0.7865363483893355,0.3666
5504,25,0.8559366144236886,0.2941
5508,25,0.8675033254294142,0.2819
5512,25,0.8790700364351397,0.2662
5520,25,0.8929500896420104,0.2356
5524,25,0.8975767740443006,0.2469
5540,25,0.9137701694523163,0.2284
