underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,open_interest
SPY,2023-10-30 16:00:00,SPY,2023-10-30,340.000,C,74.9000,74.9000,73.0000,74.9000,8,99,74.1500,99,77.0300,415.5800,415.5900,0.0000,415.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
SPY,2023-10-30 16:15:00,SPY,2023-10-30,340.000,C,0.0000,0.0000,0.0000,0.0000,0,75,75.0800,75,76.1800,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
SPY,2023-10-30 16:00:00,SPY,2023-10-30,340.000,P,0.0100,0.0100,0.0100,0.0100,9,0,0.0000,1073,0.0100,415.5800,415.5900,0.0000,415.5850,8.4366,-0.0007,0.0001,-0.0050,0.0001,0.0000,315
SPY,2023-10-30 16:15:00,SPY,2023-10-30,340.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,190,0.0100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,315
SPY,2023-10-30 16:00:00,SPY,2023-10-30,350.000,C,0.0000,0.0000,0.0000,0.0000,0,44,64.2500,99,67.0400,415.5800,415.5900,0.0000,415.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-30 16:15:00,SPY,2023-10-30,350.000,C,0.0000,0.0000,0.0000,0.0000,0,75,65.0800,75,66.2000,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-30 16:00:00,SPY,2023-10-30,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1073,0.0100,415.5800,415.5900,0.0000,415.5850,7.2989,-0.0009,0.0001,-0.0050,0.0001,0.0000,683
SPY,2023-10-30 16:15:00,SPY,2023-10-30,350.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,585,0.0100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,683
SPY,2023-10-30 16:00:00,SPY,2023-10-30,354.000,C,0.0000,0.0000,0.0000,0.0000,0,99,60.3500,99,63.0400,415.5800,415.5900,0.0000,415.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-30 16:15:00,SPY,2023-10-30,354.000,C,0.0000,0.0000,0.0000,0.0000,0,75,61.0900,75,62.2000,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
SPY,2023-10-30 16:00:00,SPY,2023-10-30,354.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1073,0.0100,415.5800,415.5900,0.0000,415.5850,6.8501,-0.0009,0.0001,-0.0050,0.0001,0.0000,424
SPY,2023-10-30 16:15:00,SPY,2023-10-30,354.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,586,0.0100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,424
SPY,2023-10-30 16:00:00,SPY,2023-10-30,355.000,C,0.0000,0.0000,0.0000,0.0000,0,1,59.9300,99,62.0500,415.5800,415.5900,0.0000,415.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-30 16:15:00,SPY,2023-10-30,355.000,C,0.0000,0.0000,0.0000,0.0000,0,75,60.0200,3,61.2100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-30 16:00:00,SPY,2023-10-30,355.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1073,0.0100,415.5800,415.5900,0.0000,415.5850,6.7384,-0.0009,0.0002,-0.0050,0.0001,0.0000,5007
SPY,2023-10-30 16:15:00,SPY,2023-10-30,355.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,590,0.0100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5007
SPY,2023-10-30 16:00:00,SPY,2023-10-30,356.000,C,0.0000,0.0000,0.0000,0.0000,0,7,58.3600,7,61.1500,415.5800,415.5900,0.0000,415.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-30 16:15:00,SPY,2023-10-30,356.000,C,0.0000,0.0000,0.0000,0.0000,0,1,59.0000,75,60.2100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
SPY,2023-10-30 16:00:00,SPY,2023-10-30,356.000,P,0.0100,0.0100,0.0100,0.0100,4,0,0.0000,4998,0.0100,415.5800,415.5900,0.0000,415.5850,6.6270,-0.0009,0.0002,-0.0050,0.0001,0.0000,6953
SPY,2023-10-30 16:15:00,SPY,2023-10-30,356.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,3101,0.0100,415.6200,415.6400,0.0000,415.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6953
SPY,2023-10-30 16:00:00,SPY,2023-10-30,357.000,C,0.0000,0.0000,0.0000,0.0000,0,7,57.4000,7,60.0100,415.5800,415.5900,0.0000,415.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
