,T,moneyness,implied_volatility
4966,18,0.751836215372159,0.4851
4970,18,0.7634029263778845,0.4713
4974,18,0.77496963738361,0.456
4978,18,0.7865363483893355,0.439
4982,18,0.7981030593950611,0.4216
4986,18,0.8096697704007866,0.408
4990,18,0.8212364814065121,0.3883
4994,18,0.8328031924122377,0.368
4998,18,0.8443699034179631,0.3508
5002,18,0.8559366144236886,0.3319
5006,18,0.8675033254294142,0.3124
5010,18,0.8790700364351397,0.2943
5014,18,0.8836967208374299,0.2862
5018,18,0.8883234052397201,0.2804
5022,18,0.8906367474408652,0.2749
5026,18,0.8929500896420104,0.2715
5030,18,0.8975767740443006,0.2645
5034,18,0.9022034584465908,0.2577
5038,18,0.906830142848881,0.2516
5042,18,0.9114568272511712,0.2449
5046,18,0.9137701694523163,0.2416
5050,18,0.9160835116534614,0.2388
5054,18,0.9183968538546065,0.2355
5058,18,0.9207101960557516,0.2325
5062,18,0.9230235382568966,0.229
5066,18,0.9253368804580419,0.2264
5070,18,0.927650222659187,0.2232
5074,18,0.929963564860332,0.2206
5078,18,0.9322769070614771,0.2178
5082,18,0.9345902492626222,0.2156
5086,18,0.9369035914637673,0.2128
5090,18,0.9392169336649124,0.2105
5094,18,0.9415302758660575,0.2079
5098,18,0.9438436180672026,0.2057
5102,18,0.9461569602683477,0.2032
5106,18,0.9484703024694928,0.2005
5110,18,0.9507836446706379,0.1984
5114,18,0.953096986871783,0.1961
5118,18,0.9554103290729281,0.194
5122,18,0.9577236712740733,0.192
5126,18,0.9600370134752184,0.1896
5130,18,0.9623503556763635,0.1878
5134,18,0.9646636978775086,0.1857
5138,18,0.9669770400786537,0.1836
5142,18,0.9692903822797988,0.1817
5146,18,0.9716037244809439,0.1797
5150,18,0.973917066682089,0.1776
5154,18,0.9762304088832341,0.1756
5158,18,0.9785437510843792,0.1736
5162,18,0.9808570932855243,0.1716
5166,18,0.9831704354866694,0.1698
5170,18,0.9854837776878145,0.1676
5174,18,0.9877971198889596,0.1659
5178,18,0.9901104620901048,0.1641
5182,18,0.9924238042912499,0.1623
5186,18,0.994737146492395,0.1604
5190,18,0.9970504886935401,0.1585
5194,18,0.9993638308946852,0.1565
5198,18,1.0005205019952577,0.1559
5202,18,1.0016771730958303,0.1546
5206,18,1.0039905152969752,0.1529
5210,18,1.0063038574981205,0.1512
5214,18,1.0086171996992657,0.1494
5218,18,1.0109305419004107,0.1476
5222,18,1.0120872130009833,0.1468
5226,18,1.0132438841015559,0.146
5230,18,1.0155572263027008,0.1442
5234,18,1.017870568503846,0.1426
5238,18,1.020183910704991,0.1408
5242,18,1.0224972529061362,0.1393
5250,18,1.0248105951072812,0.1376
5254,18,1.0271239373084264,0.1361
5258,18,1.0294372795095714,0.1344
5262,18,1.0317506217107166,0.1329
5266,18,1.0340639639118616,0.1315
5282,18,1.041003990515297,0.131
5286,18,1.0433173327164422,0.142
5290,18,1.0456306749175872,0.1475
5334,18,1.0664507547278932,0.1871
5454,25,0.7055693713492569,0.5057
5458,25,0.7171360823549824,0.4843
5462,25,0.7287027933607079,0.4715
5466,25,0.7402695043664335,0.4572
5470,25,0.751836215372159,0.4421
5474,25,0.7634029263778845,0.4266
5478,25,0.77496963738361,0.4147
5482,25,0.7865363483893355,0.3975
5486,25,0.7981030593950611,0.3833
5490,25,0.8096697704007866,0.3654
5494,25,0.8212364814065121,0.3497
5498,25,0.8328031924122377,0.3355
5502,25,0.8443699034179631,0.3186
5506,25,0.8559366144236886,0.3023
5510,25,0.8675033254294142,0.2872
